bin_lower,bin_upper,n,mean_predicted,observed
0.0,0.1,167,0.0,0.0
0.1,0.2,0,,
0.2,0.30000000000000004,12,0.25,0.25
0.30000000000000004,0.4,0,,
0.4,0.5,84,0.42857142857142855,0.42857142857142855
0.5,0.6000000000000001,55,0.5636363636363637,0.5636363636363636
0.6000000000000001,0.7000000000000001,0,,
0.7000000000000001,0.8,0,,
0.8,0.9,0,,
0.9,1.0,55,0.9818181818181818,0.9818181818181818
