fraction,n_train_rows,n_train_batteries,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0.25,70,1,1.449513286444703,12.319143278608362,1.090609868367513,7.68883860545251,0.9903026672265551,0.8283243313134824
0.5,145,2,0.7659570019396267,13.818229024824827,0.5741225625867041,11.808102978086009,0.997605849141086,0.7840006183455754
0.75,195,2,0.5812858889182158,14.179288713281343,0.4510101702562563,12.19493030807347,0.9993496504386529,0.7725653524721858
1.0,267,3,0.5057589831555326,14.20304475254502,0.30710580490884326,12.592067699987911,0.9994654705463432,0.7718026241597323
