feature,importance_mean,importance_std,baseline_rmse
discharge_charge_time_ratio,0.4141587898303758,0.062365026518115846,12.988406052596096
discharge_duration_s_cumstd,0.2418369462154093,0.04544031551500093,12.988406052596096
charge_duration_s_cummin,0.20730465587698,0.031034258482925993,12.988406052596096
energy_throughput_wh_cumstd,0.19999995063219878,0.02300447074321548,12.988406052596096
current_mean_a_ewm_5,0.17508938349427083,0.03627969025771324,12.988406052596096
n_samples_discharge,0.16200600967735568,0.030902244866134423,12.988406052596096
current_mean_a_cummax,0.15363283562026986,0.029148046319978277,12.988406052596096
soh_cumstd,0.13255217726771562,0.030039059532220486,12.988406052596096
capacity_ah_cummin,0.12799840310723987,0.04548893151885298,12.988406052596096
cum_discharge_time_h,0.12540155171131495,0.01779337176800686,12.988406052596096
soh_cummin,0.12310483648927928,0.04429978322215841,12.988406052596096
current_mean_a_lag_5,0.11869526641902262,0.02769274702182012,12.988406052596096
current_mean_a_rmax_3,0.11864761510840971,0.0233329744017303,12.988406052596096
current_mean_a_ewm_15,0.10566693401798943,0.023918748399141456,12.988406052596096
soh_ewm_15,0.10429339134232407,0.03138018416679317,12.988406052596096
current_mean_a_rmean_5,0.10288119374048499,0.03447701638944778,12.988406052596096
capacity_ah_ewm_5,0.09777752563248399,0.02556041637818293,12.988406052596096
temperature_mean_c_slope_20,0.09206224707188504,0.027724840426777284,12.988406052596096
charge_energy_wh,0.09139952085547343,0.03970691762207581,12.988406052596096
charge_duration_s_cumstd,0.08432381319570936,0.021008027512256097,12.988406052596096
log_cycle_index,0.07646466274673358,0.01900283820178702,12.988406052596096
soh_delta_from_initial,0.07452132791501676,0.02252631953403976,12.988406052596096
current_mean_a_cummean,0.06901390599998614,0.009559602296080176,12.988406052596096
cc_ct_ratio_rmin_20,0.06486885988356939,0.03648060627631321,12.988406052596096
discharge_duration_s_cummax,0.060684294150149753,0.015067123368034079,12.988406052596096
discharge_duration_s_rmax_10,0.047184690626364656,0.08086396757850356,12.988406052596096
discharge_duration_s_delta_from_initial,0.03981946476115539,0.01635975540598849,12.988406052596096
discharge_duration_s_cummin,0.03670822543949548,0.029124936378525222,12.988406052596096
discharge_duration_s_ewm_15,0.03645764732470447,0.02996605467423514,12.988406052596096
voltage_slope_v_per_s_ratio_to_initial,0.036276202210192565,0.019072371604114322,12.988406052596096
energy_throughput_wh_ewm_15,0.0353544973828015,0.004257463640193138,12.988406052596096
energy_throughput_wh_rmax_10,0.03299230461975178,0.03866672020966896,12.988406052596096
energy_throughput_wh_rstd_20,0.03169579909426368,0.014514885580422607,12.988406052596096
capacity_ah_rmax_5,0.030989284035863207,0.01876119760059942,12.988406052596096
discharge_duration_s_rmin_10,0.02833216484452805,0.022120333553887518,12.988406052596096
internal_resistance_ohm_delta_from_initial,0.02300096518607475,0.005458220019731748,12.988406052596096
current_mean_a_cumstd,0.02165570125498384,0.016121984645275467,12.988406052596096
charge_current_mean_a,0.021495496637934153,0.043860947785350754,12.988406052596096
capacity_ah_lag_1,0.019595336580222167,0.027637112152747525,12.988406052596096
discharge_duration_s_ewm_5,0.018492894549632766,0.030206994618580483,12.988406052596096
discharge_duration_s_rmean_5,0.015745997824129887,0.03656540412945966,12.988406052596096
soh_rdev_20,0.011470382219144426,0.005296707512113158,12.988406052596096
inv_cycle_index,0.010319810523858663,0.04331308409055051,12.988406052596096
internal_resistance_ohm_ratio_to_initial,0.009021424613488094,0.00598008064015204,12.988406052596096
capacity_ah_rmean_3,0.008448492964493681,0.017030532758582653,12.988406052596096
cc_ct_ratio_rmin_10,0.004615739547535469,0.0028691751237120335,12.988406052596096
energy_throughput_wh_slope_20,0.004020038734623199,0.010882195048374873,12.988406052596096
internal_resistance_ohm_cumstd,0.001193866939297905,0.0032570928045375356,12.988406052596096
soh_lag_5,0.0007359792876151516,0.028604484840828732,12.988406052596096
cc_ct_ratio_rmax_10,0.00011900861282576614,3.0278363675987342e-05,12.988406052596096
cc_ct_ratio_cummax,9.398074168665005e-05,3.752404591148316e-05,12.988406052596096
cc_ct_ratio_delta_from_initial,3.7799622024436985e-05,1.0143875542496093e-05,12.988406052596096
cc_ct_ratio_ewm_15,1.3994942779760322e-05,9.030466589293032e-06,12.988406052596096
cc_ct_ratio_cumstd,-1.9064412319025337e-05,3.1703087233267476e-05,12.988406052596096
discharge_duration_s_rmean_3,-0.0038008594219878233,0.02422561580203261,12.988406052596096
discharge_duration_s_slope_20,-0.006641551265085255,0.006055066996533709,12.988406052596096
energy_throughput_wh_rmax_5,-0.006857348302895971,0.023276183369537407,12.988406052596096
voltage_min_v_rrange_20,-0.0070318767571730945,0.015124092951933886,12.988406052596096
capacity_ah_slope_20,-0.00807644471713509,0.008051011816308644,12.988406052596096
